buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
CarbonNeutral Company,10.66,1,Financials (Special),Specialty Finance,privateglobal,1.0,Asia & Pacific,India,0.0,United K. ,4.5,Southern Asia,10.0,7.1999998,72.0,72.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cargill International S.A.,10.035714414285716,7,Consumer Discretionary,Distributors - Discretionary,privatelocal,0.7142857142857143,Asia & Pacific,Thailand,0.14285714285714285,Switzerland ,9.028571471428572,Southeast Asia,7.0,53.600000142857134,595.7142857142857,1158.142857142857,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
CasperVanderTak,9.4700003,1,Business consulting and others,Environmental Services,privateglobal,1.0,Asia & Pacific,China,0.0,Netherlands ,8.6999998,East Asia,7.0,35.700001,351.0,708.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ceres Carbon Securities,10.805000150000001,4,Financials,Institutional Financial Svcs,privatelocal,0.25,Asia & Pacific,China,0.0,United K. ,39.49999925,East Asia,7.0,69.05000025,655.5,1346.25,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
China Carbon N.V.,9.787333553333331,15,Financials (Special),Asset Management,privateglobal,0.5333333333333333,Asia & Pacific,China,0.13333333333333333,United K. ,22.713333213333332,East Asia,7.8,79.03333366666668,701.6,1084.4,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Citigroup,12.471428571428572,7,Financials,Institutional Financial Svcs,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,126.04285685714287,East Asia,7.0,224.3,2093.4285714285716,4337.714285714285,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Cleantec Development PCC,9.4700003,1,Business consulting and others,Environmental Services,privateglobal,0.0,Asia & Pacific,Myanmar,0.0,Netherlands ,192.0,Southeast Asia,7.0,709.40002,5611.0,12708.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Climate Bridge,11.023066742666675,75,Industrials,Waste & Environ Svcs & Equip,privateglobal,0.5333333333333333,Asia & Pacific,South Korea,0.0,United K. ,27.665332858666662,East Asia,7.32,77.44666662666667,651.0,1233.3333333333333,0.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0
Climate Cent Foundation,12.14,2,Foundation,0,Foundation,1.0,Asia & Pacific,China,0.0,Switzerland ,5.04999995,East Asia,7.0,31.5999995,319.5,635.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Climate Change Capital,11.520625081249998,16,Financials,Asset Management,privatelocal,0.125,Europe & Central Asia,Macedonia,0.0,United K. ,73.11249865625,Southern Asia,8.5,265.5312526875,2505.125,3945.0625,0.0,15.0,1.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0625,0.0,15.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0
